"PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","label"
-9.85943960958965,5.29013204396693,1.12986207937612,-2.32831077262297,-0.256221747380848,-1.34412690932907,0.722723758130434,0.710408962735173,-1.60271838542558,-0.762844820303739,"Mono"
-4.26595864396237,-4.37301233493762,1.60099838488078,-2.98329123597803,-0.397421531456381,-3.23146882774249,1.06453072624674,0.330116248974976,-2.4195288270489,-0.781812691320697,"Mono"
1.53127942448459,2.45809695300693,-0.960499781247663,5.25876879104659,1.40703727539819,-0.240346508649357,0.933435733061933,-2.68224743624577,-0.095623406953559,-0.967015918967885,"CD8 T"
-1.3207416043184,-6.51988004166024,-0.343682721682229,-0.749604932561787,0.497541683280367,1.94509872138536,-2.48434249115337,0.873560898028361,2.66049593713229,4.39383982344436,"DC"
4.8345636702879,-1.80257775035118,1.92274169577154,-3.02880769598902,-0.969653296897161,0.276256358115426,-2.69261416442624,0.0883515881784206,-1.99834841571324,-0.276088973115683,"CD4 T"
5.21419098152272,-0.0755594384577416,2.10563588315488,-0.244837094958738,2.10499664919717,-2.98814924466888,-1.19057329117428,-2.13910367290895,-0.823858931955255,1.6093722773101,"CD8 T"
-8.37800262886431,1.61584888268,0.657102475391744,0.397190370947921,-1.00577058849692,0.314413688723975,0.44244855606721,-0.732332043530686,-0.760559429323475,-1.6166366624265,"Mono"
4.97657100838203,-2.00296822110095,2.86719221076575,-2.63935409059445,-0.793275012433533,-0.245029619342442,-2.7688124479744,-0.405131695446357,-2.29882291880425,0.0427434292001365,"CD4 T"
3.33001475242513,3.89278736126766,1.84290738425241,0.355731419459211,-1.62660782839983,4.71403566723376,-1.91950877533534,-2.03752262547784,-0.711674117982725,-2.15866600364482,"CD4 T"
-8.57847880595331,2.61783711066208,-0.707659451048569,-1.45354590968194,-3.80869517318569,-3.01311456875817,1.54602853768824,-0.0355506812765368,-0.40436468399448,-1.08801951482104,"Mono"
3.40566977052247,-9.1155373416385,0.453260593624069,3.69044819937794,3.05554956839939,-0.229267204420037,0.76526008924847,2.1881339885644,-1.42169109844752,-1.02247744947896,"NK"
5.33388492102782,6.59472046614737,0.518230015614581,-0.176272648716551,-2.29862750410109,3.07260302143641,2.49319407060614,2.24738077754259,0.638259244590486,-0.558257966178289,"CD4 T"
